Target,Tweet,Stance
Atheism,"Heap mischief upon them, and spend Your arrows upon them -Deut. 32:23 #SemST",AGAINST
climate change,I just enjoy sunny days.,NONE
climate change,There is no solid proof that climate change is real.,AGAINST
Feminist Movement,Women shouldn't be topless! Oh shit and here I thought my breasts were for feeding babies and not the male gaze. My bad #SemST,FAVOR
climate change,Climate change is a hoax made up to control us.,AGAINST
Atheism,"8 Holy Mary Mother of God, pray for us sinners now and at the hour of our death. Amen. #rosary #teamjesus #God #SemST",AGAINST
climate change,I just enjoy sunny days.,NONE
climate change,Climate change is the biggest threat to our future.,FAVOR
Hillary Clinton,@alison_rambles @RickCanton @ResistTyranny @RotNScoundrel @LeahR77 @LeahRBoss @RedStateJake  Because I have Grand Children!  #SemST,NONE
climate change,We must act immediately to combat climate change.,FAVOR
Feminist Movement,Many feminist are praising hope solo!! She( domestic abuser) has become their idol!! #SemST,AGAINST
Legalization of Abortion,CPCs in this town of 5000: 2. #goddamn #SemST,AGAINST
Feminist Movement,"If feminism was not a religion, feminists would not fervently reject all evidence they emotionally find blasphemous. #SemST",AGAINST
Feminist Movement,"just want to give my hair follicles a quick shoutout for giving me armpit hair, cos nout says equality quite like an unused razor #SemST",AGAINST
Legalization of Abortion,"Meanwhile, @JustinTrudeau wants to waste your money to kill innocent children in the womb. #dangerous #hypocrite #noChoice #SemST",AGAINST
Donald Trump,I don’t really care who’s president.,NONE
Legalization of Abortion,@prolife_wife You can say that again! #AbortionIsMurder #AllLivesMatter #ProLifeYouth #SemST,AGAINST
Legalization of Abortion,"Why do people think it's ok to get an abortion...  What the fuck is wrong with you? What if your mom aborted you, you sick fuck! #SemST",AGAINST
Hillary Clinton,"Republican on facebook said :If it comes down to a choice between Donald Trump and Hillary,  I'm not voting! #SemST",AGAINST
Legalization of Abortion,Anti-choice laws are entirely men controlling women  #SemST,FAVOR
Hillary Clinton,@AdamSmith_USA Nice video. GOOD Luck WITH it. #SemST,NONE
Atheism,"Remember, #God has it all worked out. #SemST",AGAINST
Atheism,"The Lord is pleased w/every effort,even tiny,daily ones in which we strive to be more like Him.~Ezra Taft Benson  #lds #inspiration #SemST",AGAINST
Feminist Movement,"#Rapeculture is basically a FABLE. It has almost no reason on its side, but plenty of emotion. #rape #women #antifeminism #antiSJW #SemST",AGAINST
Hillary Clinton,"WHAT IS ""THE THREAD OF VIOLIN EXTREMISM?"" #OBAMA #ISIS #ISIL #tcot #Elocution #SemST",NONE
Atheism,Before I proceed in any direction...Prayer has to lead me ..follow that and you can't fail  #startup  #ThinkandgrowRich #SemST,AGAINST
climate change,Weather has always changed over time.,NONE
Legalization of Abortion,It's undeniable that conception may also be the birth of a soul unto life itself. Why mess with that? #SemST,AGAINST
Feminist Movement,@caitlinwinner Ladies in front of men is equality apparently #SemST,AGAINST
climate change,We must act immediately to combat climate change.,FAVOR
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Donald Trump,Politics are confusing these days.,NONE
Hillary Clinton,A lot of #GOPHaters for #Hillary - so funny because she is beating them all at 40% #SemST,FAVOR
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Hillary Clinton,.@mite72 @PatVPeters NEITHER ONE!!!! Just making a funny! #SemST,AGAINST
Feminist Movement,@StacyLGage @mylittlepwnies3 because i need the whole world to validate my vagina #SemST,AGAINST
Feminist Movement,fEminism?? eQual rights??? treating people like HUMANS??nono nooooiscruelty #SemST,AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Hillary Clinton,Education should not be a debt sentence! -Former State Representative Patricia Harper  #FellowsIA #SemST,NONE
Donald Trump,I don’t really care who’s president.,NONE
Atheism,@SecularDutchess I'll be your huckleberry @DeanModified #SemST,AGAINST
Hillary Clinton,"She's smarter and works harder . Empty accusations,inferences,gossip and rumors are rubbish. #SemST",FAVOR
Legalization of Abortion,@ShowTruth You're truly unwelcome here. Please leave.  #ygk #SemST,NONE
Hillary Clinton,"RT @JohnFugelsang: They should just make the GOP primaries a reality game show called ""Who Wants To Get Beat Up By A Girl? #SemST",FAVOR
Hillary Clinton,President Jimmy Carter:  There's no doubt Hillary will get the nomination. And when she does I'll be happy to support her #SemST,FAVOR
Atheism,Subtract secularism from modern systems of superstition & you'll be left with the ancient anarchy of archaic theocracy.  #SemST,FAVOR
Donald Trump,Donald Trump is making America great again!,FAVOR
Atheism,Imagine a species that had split the atom and ventured into space yet most still believe a magic man created everything with magic #SemST,FAVOR
Atheism,"Morality is not derived from religion, it precedes it. -Christopher 'The Hitch' Hitchens #freethinkers #SemST",AGAINST
Feminist Movement,I swear to God... The people who claim to represent Feminism are turning it into a joke. #SJW #feminist  #GuaranteedReactions #SemST,AGAINST
Donald Trump,I don’t really care who’s president.,NONE
climate change,Weather has always changed over time.,NONE
Donald Trump,Donald Trump is making America great again!,FAVOR
Atheism,"Steppin' out in faith and love.....have a safe and pleasant day, tweeple!  #blessed #love #happyday #SemST",AGAINST
Feminist Movement,Turns out it's 3 people who have mansplained to me in the past couple of days. I forgot about the racist bigot #SemST,AGAINST
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Feminist Movement,i need feminism because i cant even walk to dairy queen without a male yelling nice ass out of his window #SemST,FAVOR
Atheism,@Movingdisaster @roomansi2010  Believe and Obey.  Believe Jesus is the Messiah who saves us from sin by His death. Obey Acts 2:38-39. #SemST,AGAINST
Hillary Clinton,"@DaGodfather907 @NahBabyNah If Jebb is our candidate, we will hand Hillary the keys to 1600?Penn Ave. #WakeUpAmerica #SemST",AGAINST
Feminist Movement,"The anti-gamergate people have behaved abominably, and have no moral ground from which to stand in judgement. #gamergate  #antiSJW #SemST",AGAINST
Legalization of Abortion,For great is thy mercy toward me; & thou hast delivered my soul from an evil place. Amen #Christian #SemST,AGAINST
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
climate change,Climate change is a hoax made up to control us.,AGAINST
Legalization of Abortion,"The point is BODILY AUTONOMY. A born child can rely on other people, and can LIVE by itself   #SemST",AGAINST
Donald Trump,Politics are confusing these days.,NONE
Hillary Clinton,@M_E_Adams if a Demonrat were to win I'd prefer Sanders over Killary. #SemST,AGAINST
Hillary Clinton,@ahbrees @TODAYshow  Attack? More like the daily liberal media defend Hillary and her lies!! #SemST,AGAINST
Legalization of Abortion,We must love our neighbor as being made in the image of God and as an object of His love. ~ Saint Vincent de Paul #SemST,AGAINST
Hillary Clinton,"Pondering why virtually all of my female friends, regardless of party, say they find Hillary annoying. #SemST",AGAINST
Hillary Clinton,@HillaryNews #GoKatie Ted you're not going to be President! #HillaryAllTheWay #GayMarriageisLegal #LGBT #GLAAD #PFLAG  #SemST,FAVOR
Feminist Movement,"Hugo Schwyzer, Jian Gomeshi, both prominent male feminists, both abusers of women #sjw #GamerGate #SemST",AGAINST
Legalization of Abortion,I get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers. #abortion. #SemST,AGAINST
Hillary Clinton,@HillaryClinton interview was ridiculous!! She's such a liar! #SemST,AGAINST
climate change,We must act immediately to combat climate change.,FAVOR
Hillary Clinton,I wish #OliviaPope could run @HillaryClinton 's campaign... #Scandal #livisreal #SemST,AGAINST
climate change,There is no solid proof that climate change is real.,AGAINST
Legalization of Abortion,"@BuhayIpaglaban @blueskies366 The culture of death is ""#prolife"" who deny pregnant people healthcare. #SemST",AGAINST
Hillary Clinton,"@HillaryClinton had a duty to preserve ESI Now it's someone's duty to prosecute & sanction her Apparently ""duty"" is irrelevant #SemST",AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Legalization of Abortion,@BuhayIpaglaban @laurawrpie @_msthirdward @blueskies366 I'm totally cool with this image. Was the fetus unviable? Health at risk? #SemST,AGAINST
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
climate change,Climate change is the biggest threat to our future.,FAVOR
Feminist Movement,Why isn't this #Women also being #Charged for attacking #DeAndreJohnson first.#DoubleStandards #Sport #NFL #Abuse #CorruptSystem #SemST,AGAINST
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Donald Trump,Politics are confusing these days.,NONE
Donald Trump,Donald Trump is making America great again!,FAVOR
Feminist Movement,3rd wave feminism is pretty much the far-left equivalent of the Tea Party... #SemST,AGAINST
Hillary Clinton,Free and Equal in dignity and rights. #SemST,NONE
Hillary Clinton,@DeatonCAPT Simple. Govt benefits. Surprised it's only 42%. Must be some dependents who want off welfare. #SemST,NONE
Donald Trump,Politics are confusing these days.,NONE
Legalization of Abortion,If #Freewill is good enough for your #god it should be good enough for you. #SemST,AGAINST
Legalization of Abortion,1.2% of abortions happen at 21 weeks+  (these are only exceptions) #letstalkabortion #SemST,NONE
Hillary Clinton,7 years ago this month #POTUS released his groundbreaking First Americans tribal policy platform. You're up #Election2016 #SemST,NONE
Donald Trump,I don’t really care who’s president.,NONE
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Donald Trump,Politics are confusing these days.,NONE
Feminist Movement,1 thing I learned from my job: doors leading 2 opportunity have a cover fee only the #privileged can afford #sadtruth #SemST,AGAINST
climate change,There is no solid proof that climate change is real.,AGAINST
climate change,Weather has always changed over time.,NONE
Legalization of Abortion,"@LifeSite Right, where are the pre-born women's rights? #allLivesMatter #equalRights #SemST",AGAINST
Hillary Clinton,"@forewit @HillaryClinton is a degenerate liar who will do, say, cheat, delete, anything to get another squat at 1600 Penn Ave. #SemST",AGAINST
Legalization of Abortion,89% of abortions occur at the 12th week or before #letstalkabortion #SemST,NONE
Atheism,Every religion is good that teaches man to be good and I know of none that instructs him to be bad. ~Thomas Paine #SemST,AGAINST
Feminist Movement,"If these feminist have children, Im legit afraid of what their names will be. @ChrisRGun  #SemST",AGAINST
Hillary Clinton,@thehill : Women deserve a better candidate for the HIGH HONOR if first woman President: We ALL do! #WhyI'mNotVotingForHillary #SemST,AGAINST
Hillary Clinton,Hillary has learned The Blame Game well from Obama - she blames GOP for everything! #SemST,AGAINST
Hillary Clinton,GW Bush gives $100K speech to wounded vets...then sells uranium to Russia. Oh wait. #SemST,NONE
Legalization of Abortion,@laurawrpie @ProWomanChoice d real question is. do u even research d side effects of abortion and contraceptives? #KnowYourFacts #SemST,AGAINST
Hillary Clinton,"While I like Bernie as much as the next liberal, if we nominate him we could actually lose to some RWNJ #SemST",NONE
climate change,Weather has always changed over time.,NONE
Feminist Movement,Being a woman & being a feminist just means your not on your own side. #SemST,AGAINST
Hillary Clinton,@LeighAnnKopans can I get your pattern for this cross stitch? I want to make my own! #pride #SemST,NONE
Hillary Clinton,"RT @harrisongolden: ""So Clinton-esque,"" Brit Hume said of Hillary's email controversy. ""You never quite get the whole truth.""> #SemST",AGAINST
climate change,We must act immediately to combat climate change.,FAVOR
Hillary Clinton,"Hey!!! If anyone wants to help with the Hillary camp at Charlotte pride, let me know!!! #nc #pride #lgbt #SemST",FAVOR
climate change,Climate change is a hoax made up to control us.,AGAINST
Feminist Movement,As I rewatced Charmed episodes! LOVING IT EVEN MORE! #SemST,AGAINST
Legalization of Abortion,#rally4life more like rally for people who think they have the right to authorise other people's decisions #SemST,AGAINST
Hillary Clinton,"One wonders, if your Government ignores the law, the rest of us can too right?  Just say no to  #SemST",AGAINST
Donald Trump,Politics are confusing these days.,NONE
Legalization of Abortion,"@violencehurts @WomenCanSee The most fundamental right of them all, the right to life, is also a right of the unborn. #SemST",AGAINST
climate change,Climate change is the biggest threat to our future.,FAVOR
climate change,Weather has always changed over time.,NONE
Feminist Movement,"Great to see the progress we're all making. May that continue, until this becomes an antiquated issue. #HeForShe #GirlPower #SemST",FAVOR
Donald Trump,Donald Trump is making America great again!,FAVOR
Donald Trump,I don’t really care who’s president.,NONE
Atheism,Question to the #religious folks out there who can't comprehend the universe having began without a God. Where did God come from? #SemST,FAVOR
Hillary Clinton,Jeb Bush says Americans should work longer hours. I'll do just that... TO ELECT HILLARY CLINTON! #SemST,FAVOR
Donald Trump,I don’t really care who’s president.,NONE
Hillary Clinton,@WashTimes This is indefensible! One of the dumbest things I have ever seen a campaign do. Even the left was outraged by this.  #SemST,NONE
Legalization of Abortion,#populationcontrol = controlling the incoming generations. that's why there's #demographicwinter  #epicfail  #philippines #rhlaw. #SemST,AGAINST
climate change,We must act immediately to combat climate change.,FAVOR
climate change,We must act immediately to combat climate change.,FAVOR
Hillary Clinton,Barrack Obama doesn't care about his own town! Where do you live? Think he cares about you?   #TheFive #NoSanctuaryCities #2A #SemST,NONE
climate change,We must act immediately to combat climate change.,FAVOR
Legalization of Abortion,Our #TruthTour cont' in the @CityOttawa as we show the humanity of the unborn & inhumanity of abortion! #cdnpoli #Ottawa #onpoli #SemST,AGAINST
Hillary Clinton,"Either way, @HillaryClinton rises above the media chatter every time. That's one reason why I admire and respect her so much. #SemST",FAVOR
climate change,There is no solid proof that climate change is real.,AGAINST
Hillary Clinton,@deeceejazz Do we really want to know what's under those pantsuits? Besides the black heart of evil. #SemST,AGAINST
Feminist Movement,I aim to stop continuing to allow men in my life to lead when they are capable of only following. #manifesta #iamFuriosa #SemST,FAVOR
Hillary Clinton,@politicalmath @BoboFromTexas doesn't matter. Nobody cares if the Clintons make mistakes as long as the checks keep coming. #SemST,AGAINST
Feminist Movement,If you're a #feminist it's only because absolutely no one would shove their semi hard cock into you. Let that sink in. #SemST,AGAINST
Donald Trump,Donald Trump is making America great again!,FAVOR
Legalization of Abortion,I just unfollowed someone because they tweeted about being pro-life #SemST,AGAINST
Atheism,I don't believe in the hereafter.  I believe in the here and now. #SemST,FAVOR
Legalization of Abortion,@BuhayIpaglaban @_msthirdward @laurawrpie Who defends murder here? I haven't heard anyone defending the killing of human beings. #SemST,AGAINST
Legalization of Abortion,@XaviPereda @HillaryClinton sorry Hilary but I'm #southern and don't bleed that #rainbow #BleedRed #america #southwillriseagain #SemST,AGAINST
Donald Trump,Politics are confusing these days.,NONE
climate change,I just enjoy sunny days.,NONE
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Legalization of Abortion,pro-choicers are basically tryna fight oppression with more  oppression . #feminist #SemST,AGAINST
Hillary Clinton,"I will give the Jewish state all the support to vanquish Hamas & if that means killing 200,000 Gazans, than so be it. - #SemST",NONE
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Donald Trump,Politics are confusing these days.,NONE
Hillary Clinton,@GovtsTheProblem This is what I see: Make way 4 ur queen peasants! Don'ttouch or talk 2 her U filth! #NoHillary2016 #Benghazi  #SemST,AGAINST
Atheism,"Phew! Am glad we came to our senses and worship a 2,000 year old carpenter. - Bart Simpson #jokes #SemST",AGAINST
Atheism,"James 1:14 (#KJV) But every man is TEMPTED, when he is drawn away of his own LUST, and enticed.  #God #Lord #Christ #Holy #Spirit #SemST",AGAINST
Legalization of Abortion,@RickSantorum: I don't *believe* life begins at conception--I *know* life begins at conception. #nrlc2015 #SemST,AGAINST
Feminist Movement,"#ARTe Pop art helps improve Cuba-US relations. Willie Cole, How Do You Spell America? #2, 1993 #popart #AndyWarhol #AnaMendieta #SemST",NONE
Atheism,That scriptures Aunt just sent me was clutch!!!!  #SemST,AGAINST
climate change,I just enjoy sunny days.,NONE
Donald Trump,Donald Trump is making America great again!,FAVOR
Feminist Movement,Some men do not deserve to be called gentlemen #SemST,NONE
Donald Trump,Donald Trump is making America great again!,FAVOR
Donald Trump,Donald Trump is making America great again!,FAVOR
Hillary Clinton,@CNN @jimsciutto Good i'view #Brianna. #Hillary NOT responsible 4 slander/libel-lies r indefensible. WILL be next #POTUS. #SemST,AGAINST
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Legalization of Abortion,I will fight for the unborn! #SemST,AGAINST
Feminist Movement,"Hello ladies, finally made a twitter to expand our presence #rationalfeminism #stayfreeofPIV #SemST",FAVOR
Feminist Movement,If women didn't have tits would any of us even really care anymore? #SemST,AGAINST
Hillary Clinton,hey @HillaryClinton when you LIED about the lack of a subpoena...you REALLY thought you wouldn't get caught? #LIAR #Corruptocrat #SemST,AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Feminist Movement,Really great to see people cheering for Hope Solo even though she has been involved in domestic abuse #equality #SemST,AGAINST
climate change,There is no solid proof that climate change is real.,AGAINST
climate change,There is no solid proof that climate change is real.,AGAINST
Donald Trump,Politics are confusing these days.,NONE
Atheism,John 10:11 I am the good shepherd; the good shepherd lays down His life for the sheep. #God #Christ #Hallelujah #Amen #SemST,AGAINST
Legalization of Abortion,"@BuresLynn @sallykohn @CoFemale Kohn is also anti-human rights, anti-social justice, anti-peace, pro-violence.  #SemST",NONE
Donald Trump,Donald Trump is making America great again!,FAVOR
Atheism,Check out Honest Liar on Netflix. James Randi is amazing. #skeptic #SemST,NONE
Feminist Movement,I can't write male characters because I'm a woman?  then a man shouldn't tell me what a woman can't do cos he's a man #SemST,AGAINST
Feminist Movement,"@TarynOnthenews @NRO Very unnecessary, since 'no' doesn't always mean 'no', especially if she's drunk!  #rapehumor #SemST",AGAINST
Donald Trump,Politics are confusing these days.,NONE
climate change,Weather has always changed over time.,NONE
climate change,We must act immediately to combat climate change.,FAVOR
climate change,There is no solid proof that climate change is real.,AGAINST
Legalization of Abortion,Next time just keep the baby   #SemST,AGAINST
climate change,Climate change is the biggest threat to our future.,FAVOR
Legalization of Abortion,"@paradiselost_17 @ArguDaz @Brainman365 @PolarVan @yetigcreature Yes, an occasional hypocrite. I support #MarriageEquaility & abhor #SemST",NONE
Legalization of Abortion,These dems' lack of compassion for unborn babies who receive prenatal diagnoses is appalling #theyfeelpain #SemST,AGAINST
Hillary Clinton,@CNNPolitics @JDiamond1 that's so ridiculous to treat people like that. They are doing their jobs. #SemST,NONE
Feminist Movement,Who said Feminists Standard is THE STANDARD of how a woman should be? #SemST,AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Legalization of Abortion,@GBPstaff 1999 Meet the Press admitted to being Very Pro-Choice even with late term & Partial Birth Abortions.  He's sick!  #SemST,AGAINST
Legalization of Abortion,"@BuhayIpaglaban @blueskies366 Remember that there is no ""murder"" involed in #abortion. I am #ProContraception for LESS #abortion. #SemST",AGAINST
Legalization of Abortion,#ICCPR report does not cite any reasons for the changes in the legislation regulating. #macedonia #law # #SemST,AGAINST
Hillary Clinton,Anyone who knows or whiteness bigotry & does nothing is just as guilty 4 not doing anything morningjoe #UniteBIue #SemST,NONE
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Feminist Movement,"Religious ""what homosexual men find sexy is wrong""  Feminits ""what heterosexual men find sexy is wrong""  #SemST",AGAINST
Feminist Movement,Feminists in America have no idea what oppress looks like #SemST,AGAINST
Hillary Clinton,I dont understand the people that bash Donald Trump but take Hillary Clinton seriously #SemST,AGAINST
Atheism,RT @br_holden: Atheists have every right to exist in the public sphere.   #freethinker #SemST,AGAINST
Feminist Movement,The feds are still planning to put a woman on the $10 dollar bill #abouttime #equalityforall #historychanged #SemST,FAVOR
Hillary Clinton,"#NoHillary2016 & her #PredatorRat, too. MT ""@steve0423: We need to get these stickers up nationwide! #tcot #RedNationRising #SemST",AGAINST
Donald Trump,I don’t really care who’s president.,NONE
climate change,Weather has always changed over time.,NONE
Hillary Clinton,"SUCCESS:  @HillaryClinton said she's receiving a constant barrage of attacks from ""the Right.""  Great job, guys. Keep it up! #SemST",AGAINST
Legalization of Abortion,I have a right to identify as pregnant and have an abortion. Having an abortion confirms my power of choice. #PregnancyForAll #SemST,AGAINST
Legalization of Abortion,I support @GovMikeHuckabee because I want to see Planned Parenthood gone. #SemST,AGAINST
Hillary Clinton,@Independent Maybe it's his last name? Or maybe he's a bonafide racist with a militia membership. Lol. #Tattoos #SemST,NONE
climate change,Weather has always changed over time.,NONE
Legalization of Abortion,"How many location-efficient, #affordablehousing units could the NYC metro (pop. 23M) create if it built over all of its cemeteries? #SemST",NONE
Hillary Clinton,"Wait...... you said ""BILL COSBY?""  Oh, I'm sorry, I thought you said ""BILL CLINTON!""  #uniteblue #ReadyForHillary #SemST",FAVOR
Donald Trump,Donald Trump is making America great again!,FAVOR
Hillary Clinton,"@MarkSoveign won't happen again. Hillary's coattails will help all democrats. Take back senate, Keep WH! Make history again! #SemST",FAVOR
climate change,There is no solid proof that climate change is real.,AGAINST
Feminist Movement,And girls just wanna have fun...damental rights #SemST,FAVOR
climate change,Weather has always changed over time.,NONE
Atheism,"You stay the same through the ages, Your love never changes...Your love never fails. #SemST",AGAINST
Hillary Clinton,@murphymike @blakehounshell @ScottFConroy let's see jebs emails from 2000 when he helped his idiot brother steal the presidency #SemST,AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Hillary Clinton,@KrownRoyaleNY @jjauthor Bad for her is good for the U.S. @jlconnell66 #Killary #SemST,AGAINST
Atheism,"All that is needed for God for something to happen is to say ""#Be"" and it is; for God is capable of all things. #God created #trinity #SemST",AGAINST
Hillary Clinton,.@politicoroger It is 2015. You and the other high minded media are not more important than then story. Have a seat. #SemST,NONE
Legalization of Abortion,FYI: Unborn babies diagnosed with a disability in the womb can feel pain just as much as a baby without a diagnosis #theyfeelpain #SemST,AGAINST
Hillary Clinton,@danmericaCNN @GenGSPatton @danamericaIt looked like they were the ones tying the knots. @jlconnell66 #Killary #SemST,AGAINST
Legalization of Abortion,"#rally4life Motherhood is for some much-wanted,for others it is not.It should be by choice, not by force. Respect women's choices #SemST",AGAINST
climate change,We must act immediately to combat climate change.,FAVOR
Hillary Clinton,Right now every liberal in America is feeling hopeful. We have GREAT Prez candidates. #UniteBlue #FeelTheBern #SemST,NONE
Hillary Clinton,"@nyinvesting big banker buds need to ratchet up their ""Hillary cares about the little people"" propaganda  #SemST",AGAINST
Legalization of Abortion,@laurawrpie protect them by informing #HIV s acquired by having sex even wen using #condoms HIGH #RISK of acquiring it #teens #SemST,NONE
climate change,I just enjoy sunny days.,NONE
Hillary Clinton,@HillaryClinton the @DalaiLama speaks of women in leadership roles bringing about a more compassionate world. #potus #SemST,FAVOR
Feminist Movement,What young woman doesn't want to be #sugarbaby? It's far better than slaving away in a cubicle for nothing. #sugardaddy #SemST,AGAINST
Donald Trump,I don’t really care who’s president.,NONE
climate change,We must act immediately to combat climate change.,FAVOR
climate change,I just enjoy sunny days.,NONE
Hillary Clinton,"It's time that we move from good words to good works, from sound bites to sound solutions.--@HillaryClinton #ReadyForHillary #SemST",FAVOR
Donald Trump,Trump should be held accountable for his actions.,AGAINST
climate change,I just enjoy sunny days.,NONE
Legalization of Abortion,"we must always see others as Christ sees us,we must see God in all things&remeber 2 look past sin #RomanCatholic #SemST",AGAINST
Hillary Clinton,"#Democrats and #Obama reduce OUR Army by 40,000   MEANWHILE   Has increased IRS to 100,000  #HillaryClinton #Hillary #SemST",AGAINST
Donald Trump,Donald Trump is making America great again!,FAVOR
Feminist Movement,"In the United States, when an unmarried man has a baby, his partner can give it up without his consent. #Patriarchy #SemST",AGAINST
Atheism,"I want to give the world a hug. A huge, huge hug. #human #4thofJuly #everyone #planetearth #SemST",NONE
Feminist Movement,"Up next! Watch me get called ""a sexist pig"" for ordering a sandwich from a female Subway sandwich engineer. #SemST",AGAINST
Legalization of Abortion,@notmuchelse And accepting with love any children arising from Union of marriage or at least taking responsibility for life created #SemST,AGAINST
Feminist Movement,"@AllyBrooke hi, can u pls rt this people need to know about this!!!!! #feminist #SemST",FAVOR
Feminist Movement,"If we have a ticker tape parade for the women, then who's going to clean it up? #WorldCup #thinkofthechildren #SemST",AGAINST
Legalization of Abortion,I am about to deck these 2 bitches in the fucking mouth.  #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,AGAINST
climate change,We must act immediately to combat climate change.,FAVOR
climate change,Climate change is a hoax made up to control us.,AGAINST
Legalization of Abortion,I hope you all either enjoy the rugby or enjoy not enjoying the rugby #SemST,AGAINST
Feminist Movement,When I go up the steps of my house I feel like the @ussoccer_wnt .. I too have won the Women's World Cup. #brokenlegprobs #USA #SemST,AGAINST
climate change,Climate change is the biggest threat to our future.,FAVOR
climate change,Weather has always changed over time.,NONE
Feminist Movement,Going off to write up second part of #TimHunt story - the collusion & false reports of @connie_Stlouis et al in Seoul. #journalism #SemST,AGAINST
Hillary Clinton,@peddoc63 @steph93065 @ChrisHollyMusic she's needs an Orange pantsuit! Permanently! #hillaryforprison #wakeupamerica #pjnet #SemST,AGAINST
Atheism,Bethany Hamilton Reveals She is Resting in God's Promises Despite 'Unknow #bible #biblestudy #scripture #Christianity #ChristianNews #SemST,AGAINST
Feminist Movement,Female sharks grow to be larger than male Sharks. #Sharkweek2015 #SemST,NONE
Hillary Clinton,@AdamSmith_USA because clearly @HillaryClinton is a champion for us all. #SemST,FAVOR
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Hillary Clinton,During ClintonNo.1 prez stint all we heard was 'right wing conspiracy' -it's starting again #SemST,AGAINST
climate change,Climate change is the biggest threat to our future.,FAVOR
climate change,Climate change is the biggest threat to our future.,FAVOR
Atheism,Happy Independence Day to America and her beautiful constitution #IndependenceDay #USA #SemST,AGAINST
Atheism,"Psalm 86:17 Is. 7:14 God will give you a sign. ""Father, within the next 3 days, show me a sign; a token. #SemST",AGAINST
Donald Trump,Donald Trump is making America great again!,FAVOR
climate change,Climate change is a hoax made up to control us.,AGAINST
Feminist Movement,#women learn to be women and #men learn to be men and I don't blame it all on you but I don't want to be your #friend  #lyrics #SemST,NONE
Hillary Clinton,@realDonaldTrump has my vote! The truth will set you free and we need transparency in Washington now more than ever! #SemST,AGAINST
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Feminist Movement,Just want gender politics to be over.  My brain hurts. #genderequity #patriarchy #MRA #SemST,AGAINST
Hillary Clinton,The ropes might keep people back now Hillary but You WILL answer to americans come debate time you coward. #tcot #RedNationRising #SemST,AGAINST
Donald Trump,Politics are confusing these days.,NONE
Atheism,@Maisie_Williams everyone feels that way at times. Not just women #SemST,NONE
climate change,Climate change is a hoax made up to control us.,AGAINST
climate change,We must act immediately to combat climate change.,FAVOR
Legalization of Abortion,"Some babies die by chance, none should die by choice! #SemST",AGAINST
Feminist Movement,"Women are murder, abused, raped and etc but what is apparently more important for feminism are #freethenippple and #Manspreading . #SemST",AGAINST
Feminist Movement,"I'm trying to explain how its bad for men to but this #feminist is calling me a liar, #womanagainstfeminism #wtf #SemST",AGAINST
Hillary Clinton,@stylistkavin Amazing how much they sound like Republicans! ; ) #ITrustHillary #SemST,FAVOR
climate change,Climate change is the biggest threat to our future.,FAVOR
Hillary Clinton,So @HillaryClinton received a Subpoena to Testify & She ignored it! Is Hillary above The Law Now?  #SemST,AGAINST
Donald Trump,Politics are confusing these days.,NONE
climate change,I just enjoy sunny days.,NONE
Hillary Clinton,"Every time the republicans move to the middle, the liberals move the middle further to the left. #SemST",NONE
Hillary Clinton,What Are We Believing in?  BELIEVE IN VICTORY. Go for  #VICTORY2016  #SemST,AGAINST
Hillary Clinton,@JOEROWE409 @ScotsFyre Hillaey Clinton can't help but lie...it's who she really is. #SemST,AGAINST
Hillary Clinton,I'm going to miss the 5pm interview so I'm depending on you all to live tweet it. Haha #SemST,NONE
climate change,We must act immediately to combat climate change.,FAVOR
Atheism,Religious moderation is the product of secular knowledge and scriptural ignorance. - @SamHarrisOrg  #SemST,AGAINST
Hillary Clinton,@tiffiwestcott  I got mine and I love it. #SemST,NONE
Feminist Movement,Just wrote my blog to help @CalAlimony pass a vital law that ends #alimony. Posting soon. #Divorce #leanin #SemST,AGAINST
Hillary Clinton,Enjoyed @jamiaw article on feminism + @hillaryclinton.We are building campaign that engages ppl through an intersectional lens #SemST,FAVOR
Atheism,"A gift from God, live your day responsibly and without regrets.     #amwriting #parenting #amreading #Christianity #sports #SemST",AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
climate change,I just enjoy sunny days.,NONE
